CAPITAL MARKETS:	FIXED INCOME SECURITIES-###-0.2774334205498315---SECURITIES REGULATION-###-0.3676808120598405---FINANCIAL DERIVATIVES-###-0.25412987751142063---
TPCS IN AFRICANA STUDIES: The History of Women and Men of African Descent at the University of Penn:	Gender, Sexuality and Identity-Contemporary Caribbean Cultural Production-###-0.27324536088485674---TOPICS FILM STUDIES: MODERN SCI-FI CINEMA-###-0.3232805310656372---CYBORGS, ROBOTS, AND GADGETS: TECHNOLOGIES IN CONTEMPORARY HISPANIC CINEMA-###-0.27324536088485674---Mexican Conspiracies: Literature & Politics in Contemporary Narrative-###-0.3009106931757508---Telling It All: Women as Storytellers in Hispanic Fiction-###-0.27324536088485674---TOPICS FILM STUDIES: AMERICAN INDEPENDENTS-###-0.3232805310656372---DON QUIXOTE NOW AND THEN-###-0.27324536088485674---THE HISTORY OF CHILDREN'S TELEVISION-###-0.30492896105175826---ITALIAN CINEMA: ITALIAN ART CINEMA-###-0.2695026847508965---WRITING AND REMEMBERING-###-0.3208638576148748---LITERATURE AND DICTATORSHIP IN LATIN AMERICA-###-0.27324536088485674---THE ART OF THE INTERVIEW-###-0.3208638576148748---TOPICS FILM STUDIES: MARTIN SCORSESE-###-0.3232805310656372---LITERATURE AND EVERYDAY LIFE IN COLONIAL SPANISH AMERICA-###-0.27324536088485674---Food in Latin American History and Culture-###-0.27324536088485674---ADAPTATIONS: FROM PAPER TO SCREEN-###-0.35886625992034255---GABRIEL GARCIA MARQUEZ AND 20TH-CENTURY LATIN AMERICAN LITERATURE-###-0.27324536088485674---The Glorious "What If?": Writing Speculative Fiction-###-0.3208638576148748---Embodied Writing: A Writing Workshop-###-0.3208638576148748---CROSSING BORDERS IN LATIN AMERICAN CINEMA-###-0.27324536088485674---INTRO AFRICANA STUDIES-###-0.2875968631126926---CONTEMPORARY ISSUES IN AMERICAN ANIMATION-###-0.30492896105175826---THE COEN BROTHERS AND THEIR INFLUENCES-###-0.28859423182323635---How a Story Works: The Art of Fiction-###-0.3208638576148748---TPCS: SPAN/LTAM CINEMA: LATIN AMERICAN FILM-###-0.27324536088485674---BODY AND SOUL:  HISPANIC PERSPECTIVES ON HEALTH, ILLNESS, AND HEALTHCARE-###-0.27324536088485674---Architecture of Latin American Identities-###-0.27324536088485674---21st Century Latin American Literature-###-0.27324536088485674---TOPICS: FRESHMAN SEMINAR: ITALIAN FOOD CULTURE IN ART, CINEMA AND LITERATURE-###-0.35886625992034255---TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA-###-0.34143901824471296---Story-Telling in Fiction and Nonfiction-###-0.3208638576148748---The US and Human Rights: Policies and Practices-###-0.3721022641215412---MEXICO: REVOLUTION AND CULTURE-###-0.27324536088485674---Modern and Contemporary Spanish Literature: Penn in Madrid-###-0.27324536088485674---CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION-###-0.27324536088485674---TOPICS FILM STUDIES: TRANSNATIONAL CINEMA-###-0.31049049867130296---THERE WILL BE BLOOD: REPRESENTATION OF THE CONQUISTADOR IN LATIN AMERICA-###-0.27324536088485674---Reading Old Spanish: Language in Context-###-0.27324536088485674---TOPICS FILM STUDIES: ROMANTIC COMEDY-###-0.3232805310656372---CLOISTER, CASTLE AND COURT: MEDIEVAL IBERIAN LITERATURE & ARCHITECTURE-###-0.27324536088485674---Don Quijote Then and Now-###-0.27324536088485674---THE WORLD OF WORK-###-0.3208638576148748---WOMEN, CINEMA AND SOCIETY IN FRANCE SINCE 1944-###-0.3300295694785112---CONTEMPORARY SPANISH CINEMA-###-0.27324536088485674---TOPICS GERMAN CINEMA: FRITZ LANG-###-0.32690877584932626---MODERN SCI-FI CINEMA-###-0.2801457127852673---WOMEN IN ITALIAN LITERATURE & CINEMA-###-0.35886625992034255---TOPICS FILM STUDIES: HISTORICAL FILMS-###-0.3232805310656372---FROM PAPER TO SCREEN: CINEMATIC ADAPTATIONS-###-0.35886625992034255---TOPICS FILM HISTORY: TRANSNATIONAL CINEMA-###-0.27155659598005316---MURDERING THE PAST:  SPANISH POST-FRANCO NARRATIVE BY WOMEN-###-0.27324536088485674---Art & Ideology-Medieval & Early Modrn Iberia: Jews,Christians,Gypsies,Moors-###-0.27324536088485674---MLA PROSEMINAR IN CINEMA: CINEMA AND POLITICS-###-0.27651772550018133---TOPICS FILM HISTORY: REALISM & WORLD CINEMA-###-0.27155659598005316---Contemporary Fantastic Literature in Latin America-###-0.3009106931757508---TOPICS FILM HISTORY: LIFE IMITATES ART: THEORIES AND FORMS OF AVANT-GARDE CINEMA-###-0.32690877584932626---To Whom It May Concern: Literary Letters in Latin America-###-0.27324536088485674---ARCHAEOLOGY OF FICTION-###-0.3208638576148748---MLA Proseminar: Looking for Don Quixote-###-0.27324536088485674---Fictions of Exceptionality in 20th-Century Latin American Literature-###-0.27324536088485674---TOPICS FILM STUDIES: FILM FESTIVALS-###-0.3232805310656372---Between Fact and Fiction: Chronicle in LtAm from Span Conquest to 21st Cent-###-0.3009106931757508---SPANISH THEATER:  TEXT AND REPRESENTATION-###-0.27324536088485674---Fiction and Poetry-###-0.3208638576148748---DON QUIJOTE THEN AND NOW-###-0.27324536088485674---MEXICAN CINEMA-###-0.27324536088485674---MLA SEMINARS IN CINEMA: MARS&VENUS AT THE MOVIES-###-0.28859423182323635---Murdering the Past: Women's Narrative in Post-Franco Spain-###-0.3009106931757508---The Country, the City and the Borderland in Contemporary Latin American Lit-###-0.27324536088485674---Latin American Literature and Pop(ular) Culture-###-0.27324536088485674---INTRODUCTION TO AFRICANA STUDIES-###-0.2875968631126926---DON QUIJOTE: DON QUIJOTE THEN & NOW-###-0.27324536088485674---TOPICS IN ANIMATION: THE ANIMATION OF DISNEY-###-0.30492896105175826---ITALIANS IN AMERICAN CINEMA-###-0.32690877584932626---Coming of Age in Latin America-###-0.3009106931757508---STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY-###-0.27324536088485674---Between Fact and Fiction: Chronicle in Lt America from Span Conquest-21st C-###-0.27324536088485674---Reality and Appearance in Golden Age Spain-###-0.27324536088485674---THE SECRET CIRCLE: CRIME & CONSPIRACY FICTIONS IN CONTEMP LT AM LITERATURE-###-0.27324536088485674---POLITICS:  RHETORIC AND POWER IN ITALIAN CULTURE AND BEYOND-###-0.35886625992034255---FERAL TRANSLATIONS: THE WILD CHILD IN THE CULTURAL IMAGINATION-###-0.30138845603953013---TOPICS FILM STUDIES: HOLLYWOOD 1939-###-0.31049049867130296---Gabriel Garcia Marquez and Latin American Literature-###-0.27324536088485674---HISTORY AND THEORY OF ANIMATION-###-0.30492896105175826---LATIN AMERICAN FILM-###-0.27324536088485674---MLA SEMINARS IN CINEMA: MLA Proseminar: Food and Film-###-0.28859423182323635---Writing and Remembering: A Memoir Workshop-###-0.3208638576148748---
ANCIENT CIVS OF THE WRLD:	
CLINIC: FOUNDERS 14:	ADULT GERONTOLOGY ACUTE CARE NP: PROFESSIONAL ROLE AND CLINICAL PRACTICUM I-###-0.2872908302594244---DIAGNOSIS AND MANAGEMENT OF ADULT GERONTOLOGY ACUTE CARE PATIENTS II-###-0.28991126669733985---DIAGNOSIS AND MANAGEMENT OF ADULT GERONTOLOGY ACUTE CARE PATIENTS I-###-0.35575210377978383---ADVANCED TECHNOLOGY & CLINICAL DECISIONS IN ACUTE CARE-###-0.7745985826946505---DIAG & MGMT AGAC PTS I-###-0.35575210377978383---PRINCIPLES OF ADULT GERONTOLOGY ACUTE CARE III-###-0.3573739439129678---PRINCIPLES OF ADULT GERONTOLOGY ACUTE CARE I-###-0.2957033840893443---ADULT GERONTOLOGY ACUTE CARE NP:PROFESSIONAL ROLE AND CLINICAL PRACTICUM II-###-0.29961145442115805---
EURO INTELL HIST 18TH C:	17C INTELLECT HISTORY-###-0.39946265605782777---17TH CENTURY INTELLECTUAL HISTORY: ORIGINS OF MODERNITY-###-0.39946265605782777---
Beginning Hindi-Urdu - Part I:	CRITICAL APPRECIATION-###-0.3156944025374475---BEGINNING HINDI-URDU - Part I-###-0.4575529087641822---INTERMEDIATE HINDI II: Intermediate Hindi Part II-###-0.30705643871505617---BEGINNING HINDI-URDU II-###-0.4575529087641822---SUFISM IN URDU POETRY-###-0.3156944025374475---INTERMEDIATE URDU I-###-0.4434930697616296---INTERMEDIATE HINDI I-###-0.30705643871505617---INTERMEDIATE HIND GRADS-###-0.30705643871505617---INTERMEDIATE URDU II-###-0.3889607099874643---SUFISM AND RESISTANCE: Lit in Translation-Sufism and Resistance-###-0.3156944025374475---
CONTEMPORARY SPANISH CINEMA:	Culture and Identity of the Lusophone World-###-0.6865532011806712---TOPICS FILM STUDIES: MODERN SCI-FI CINEMA-###-0.28375717493176156---IMMIGRANT URBAN LABOR IN THE U.S.-###-0.3968455749305142---ITALIAN DRAMA AND THE PERFORMANCE OF A NATION-###-0.37969532379417587---The French Novel of the 20th Century-###-0.41266792633358945---Critical Debates in Global Human Rights-###-0.2687834870228938---GEOGRAPHY AND THE NOVEL-###-0.41266792633358945---HUMAN RIGHTS IN THE AGE OF REVOLUTIONS-###-0.30969453662272173---20-21ST CENTURY FRENCH NOVEL-###-0.5105437571555637---PARIS IN FILM-###-0.3571266411514482---TOPICS FILM STUDIES: AMERICAN INDEPENDENTS-###-0.28375717493176156---THE ENLIGHTENMENT-###-0.2673942784178771---WRITING AND REMEMBERING-###-0.4315352643497023---THE ART OF THE INTERVIEW-###-0.4315352643497023---The Glorious "What If?": Writing Speculative Fiction-###-0.4315352643497023---Embodied Writing: A Writing Workshop-###-0.4315352643497023---SPAN FOR MED PROF ELEM 2-###-0.2864765646484103---The Portrayal of Youth in Modern Spanish Literature and Film-###-0.7107950277257573---How a Story Works: The Art of Fiction-###-0.4315352643497023---Sexuality, Terrorism, and Human Rights-###-0.2687834870228938---ELEMENTARY SPANISH II-###-0.2792812982280808---FASHION & IMAGE IN THE AFRICAN DIASPORA-###-0.30969453662272173---French Modernity and Its Discontents-###-0.4714218884892819---TOPICS: FRESHMAN SEMINAR: ITALIAN FOOD CULTURE IN ART, CINEMA AND LITERATURE-###-0.4829704541402612---TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA-###-0.2720856907302495---TOPICS IN ASIAN AM HIST: Asian Americans and Public History/Memory-###-0.3968455749305142---The US and Human Rights: Policies and Practices-###-0.2595269623485744---APPROACHES TO GENRE: THE END IS COMING: APOCALYPSE IN FILM AND LITERATURE-###-0.33351499007988533---SPAN FOR MED PROF INT 2-###-0.27261224960126823---TPCS IN AFRICANA STUDIES: The History of Women and Men of African Descent at the University of Penn-###-0.27324536088485674---TOPICS: ITALIAN CULTURE: Love in Italian Literature-###-0.5105437571555637---TOPICS GERMAN CINEMA: FRITZ LANG-###-0.28694184085144064---APPROACHES TO GENRE: POETRY OUT LOUD-###-0.33351499007988533---WOMEN IN ITALIAN LITERATURE & CINEMA-###-0.4829704541402612---DANTE'S WORKS-###-0.42095914259995626---CONTEMPORARY NOVEL:  LITERATURE, POLITICS, ECONOMY-###-0.40788815844325305---TOPICS FILM STUDIES: HISTORICAL FILMS-###-0.28375717493176156---THE NOVEL AND MARRIAGE-###-0.3765035091240376---URBANIZATION AND ITS DISCONTENTS-###-0.30969453662272173---Love in Italian Literature-###-0.5105437571555637---WAR & CONQUEST IN MEDIEVAL EUROPE-###-0.30969453662272173---ASIAN AMERICAN COMMUNITIES & POPULAR CULTURE-###-0.3968455749305142---ARCHAEOLOGY OF FICTION-###-0.4315352643497023---THE FANTASTIC VOYAGE FROM HOMER TO SCIENCE FICTION-###-0.3335486871117002---BLACK FRANCE: HISTORY AND REPRESENTATIONS-###-0.4423803148857321---Between Fact and Fiction: Chronicle in LtAm from Span Conquest to 21st Cent-###-0.4049725214374075---CONTEMP BRAZILIAN CINEMA-###-0.6865532011806712---Fiction and Poetry-###-0.4315352643497023---GLOBAL FRANCE-###-0.4423803148857321---The Fantastic Voyage from Homer to Science Fiction-###-0.3335486871117002---ADV JOURNALISTIC WRITING: JOURNALISTIC STORY-TELL.-###-0.28836049931316704---SCIENCE AND LITERATURE-###-0.40788815844325305---THE CITY OF ROME: FROM CONSTANTINE TO THE BORGIAS-###-0.30969453662272173---Iraq and Syria from World War I to ISIS-###-0.30969453662272173---TOPICS IN ANIMATION: THE ANIMATION OF DISNEY-###-0.26764921555191434---ITALIANS IN AMERICAN CINEMA-###-0.28694184085144064---ORAL HISTORY-###-0.30969453662272173---The History of Women and Men of African Descent at the University of Penn-###-0.27324536088485674---MIGRATION AND REFUGEES IN AFRICA-###-0.30969453662272173---ADV JOURNALISTIC WRITING: SCIENCE/TECHNOLGY/SOCIET-###-0.28836049931316704---CAPITALISM AND HUMANITARIANISM-###-0.30969453662272173---THE SEXUAL LIFE OF COLONIALISM: GENDER & SEXUALITY IN THE COLONIAL WORLD-###-0.30969453662272173---TOPICS IN LUSOPHONE CULTURE - SOCIETY AND VISUAL ARTS-###-0.6865532011806712---VIOLENCE AND THE SACRED-###-0.28810345380656643---PLATO AND ARISTOTLE IN THE RENAISSANCE-###-0.3848047336585036---Mexican Conspiracies: Literature & Politics in Contemporary Narrative-###-0.4049725214374075---THE HISTORY OF CHILDREN'S TELEVISION-###-0.26764921555191434---GOVERNING THE WORLD: HIST OF INTERNATIONAL ORGANIZATIONS 1870S-PRESENT-###-0.30969453662272173---LIVING IN SCIENCE FICTION WORLD-###-0.27225448960388426---(HI)STORIES: THE CONTEMPORARY ITALIAN NOVEL-###-0.5105437571555637---TOPICS FILM STUDIES: MARTIN SCORSESE-###-0.28375717493176156---TOPICS IN BRAZILIAN CULT: CONTEMPORARY BRAZILIAN CINEMA: SOCIETY AND REALITY EFFECTS-###-0.6865532011806712---ADAPTATIONS: FROM PAPER TO SCREEN-###-0.4829704541402612---HISTORY, MEMORY, AND NOSTALGIA IN MODERN EUROPE-###-0.30969453662272173---GOD AND NATURE-###-0.30969453662272173---CONTEMPORARY ISSUES IN AMERICAN ANIMATION-###-0.26764921555191434---SPORT, POLITICS AND LITERATURE IN ITALIAN CULTURE AND BEYOND-###-0.5105437571555637---VOICES OF THE MIDDLE EAST: HISTORY THROUGH LITERATURE-###-0.30969453662272173---IMPROVISED CITIES IN THE MODERN WORLD-###-0.30969453662272173---STUDIES IN SPAN CULTURE-###-0.6892999729299761---After Odysseus. On Hospitality in France, North Africa & the Mediterranean-###-0.5634108376279003---Story-Telling in Fiction and Nonfiction-###-0.4315352643497023---WOMEN IN THE MIDDLE EAST: A MODERN HISTORY-###-0.30969453662272173---TOPICS FILM STUDIES: ROMANTIC COMEDY-###-0.28375717493176156---THE WORLD OF WORK-###-0.4315352643497023---WOMEN, CINEMA AND SOCIETY IN FRANCE SINCE 1944-###-0.5494756130754243---FROM PAPER TO SCREEN: CINEMATIC ADAPTATIONS-###-0.4829704541402612---ROME AND THE MARGINS OF MODERNISM-###-0.38361124444359485---Contemporary Fantastic Literature in Latin America-###-0.4049725214374075---TOPICS FILM HISTORY: LIFE IMITATES ART: THEORIES AND FORMS OF AVANT-GARDE CINEMA-###-0.28694184085144064---Topics in Luso-Brazilian Culture: Society and Visual Arts-###-0.4241032773511498---TOPICS FILM STUDIES: FILM FESTIVALS-###-0.28375717493176156---REL&COL RULE IN AFRICA-###-0.30969453662272173---GERMAN CENTURY:1890-1990-###-0.30969453662272173---ASIAN AMERICAN ACTIVISM: Asian American Activism and Organizing-###-0.3144081135301404---Murdering the Past: Women's Narrative in Post-Franco Spain-###-0.4049725214374075---FLORENCE IN HISTORY-###-0.30969453662272173---Antonioni and Fellini: The Challenge of (Post)modernist Cinema-###-0.38361124444359485---The Holocaust - Representation and Silence-###-0.40788815844325305---STORYTELLING IN THE DIGITAL WORLD-###-0.28836049931316704---Coming of Age in Latin America-###-0.4049725214374075---UNOFFICIAL HISTORIES OF THE COLONIAL CARIBBEAN-###-0.30969453662272173---TOPICS IN US HISTORY: JAPANESE/AMER INTERNMENT-###-0.30969453662272173---FEMINISM IN THE AMERICAS-###-0.30969453662272173---CLIMATE-FICTION/CATASTROPHE, AND CULTURAL PRODUCTION-###-0.27225448960388426---Culture and Identity in the Lusophone World-###-0.4241032773511498---Voices & Texts: Music, Literature & Culture in Modern & Contemporary Spain-###-0.7107950277257573---FRESHMAN SEMINAR: REPRESENTING AFRICA-###-0.3335486871117002---POLITICS:  RHETORIC AND POWER IN ITALIAN CULTURE AND BEYOND-###-0.4829704541402612---Food in Italian Culture: From Court Banquets to Food Trucks-###-0.5105437571555637---TOPICS IN ASIAN AMER LIT: ASIAN AMERICAN PROFESSIONALS-###-0.3968455749305142---EXPERIMENTAL CULTURES AND POLITICS IN SPAIN-###-0.6892999729299761---The City: Literary and Visual Tradition-###-0.5105437571555637---Asian American Cinema Movement: Fighting For Representation-###-0.3144081135301404---HISTORY AND THEORY OF ANIMATION-###-0.26764921555191434---Writing and Remembering: A Memoir Workshop-###-0.4315352643497023---
POL IN CONTEMP MID EAST:	
MARKETS WITH FRICTIONS:	
TODDLERS, TIARAS, AND TABOOS:  GIRLHOOD IN TWENTIETH-CENTURY AMERICAN LIT.:	
INTRO TO CREATIVE WRIT: CREATIVE NONFICTION AND POETRY:	ADV JOURNALISTIC WRITING: SCIENCE/TECHNOLGY/SOCIET-###-0.29806751320082325---WRITING TOWARD DIASPORA-###-0.26769377053294124---CREATIV WRITG & WORLD: WRITING ACROSS BORDERS-###-0.26769377053294124---STORYTELLING IN THE DIGITAL WORLD-###-0.29806751320082325---CREATIVE WRITING: Creative Writing:  Personal Essay/Fiction-###-0.2979882763474254---CREATIVE WRITING: INTRODUCTION TO CREATIVE WRITING:  CREATIVE NONFICTION AND POETRY-###-0.2979882763474254---Pop-Fiction for the Literary: Purpose and Practice of Genre Writing-###-0.4116813696751633---Creative Writing for Chemists-###-0.4116813696751633---ADV JOURNALISTIC WRITING: JOURNALISTIC STORY-TELL.-###-0.29806751320082325---
CONTEMPORARY NOVEL:  LITERATURE, POLITICS, ECONOMY:	Culture and Identity of the Lusophone World-###-0.2760389654491553---Gender, Sexuality and Identity-Contemporary Caribbean Cultural Production-###-0.40788815844325305---IMMIGRANT URBAN LABOR IN THE U.S.-###-0.3081558868987612---ITALIAN DRAMA AND THE PERFORMANCE OF A NATION-###-0.7652234124270751---The French Novel of the 20th Century-###-0.2974857179922734---GEOGRAPHY AND THE NOVEL-###-0.2974857179922734---20-21ST CENTURY FRENCH NOVEL-###-0.30658247995378535---Telling It All: Women as Storytellers in Hispanic Fiction-###-0.40788815844325305---WRITING AND REMEMBERING-###-0.2925452449182694---LITERATURE AND DICTATORSHIP IN LATIN AMERICA-###-0.40788815844325305---THE ART OF THE INTERVIEW-###-0.2925452449182694---LITERATURE AND EVERYDAY LIFE IN COLONIAL SPANISH AMERICA-###-0.40788815844325305---GABRIEL GARCIA MARQUEZ AND 20TH-CENTURY LATIN AMERICAN LITERATURE-###-0.40788815844325305---The Glorious "What If?": Writing Speculative Fiction-###-0.2925452449182694---Embodied Writing: A Writing Workshop-###-0.2925452449182694---The Portrayal of Youth in Modern Spanish Literature and Film-###-0.286569569708861---CROSSING BORDERS IN LATIN AMERICAN CINEMA-###-0.40788815844325305---How a Story Works: The Art of Fiction-###-0.2925452449182694---INTRO PRACTICUM II-###-0.2883512316313887---Architecture of Latin American Identities-###-0.40788815844325305---21st Century Latin American Literature-###-0.40788815844325305---French Modernity and Its Discontents-###-0.33984051103874807---TOPICS: FRESHMAN SEMINAR: ITALIAN FOOD CULTURE IN ART, CINEMA AND LITERATURE-###-0.26611397421585525---TOPICS IN ASIAN AM HIST: Asian Americans and Public History/Memory-###-0.3081558868987612---Image-Based Anatomy for Medical Physics-###-0.2883512316313887---MEXICO: REVOLUTION AND CULTURE-###-0.40788815844325305---Modern and Contemporary Spanish Literature: Penn in Madrid-###-0.40788815844325305---APPROACHES TO GENRE: THE END IS COMING: APOCALYPSE IN FILM AND LITERATURE-###-0.32614493730194016---CONTEMPORARY SPANISH CINEMA-###-0.40788815844325305---TOPICS: ITALIAN CULTURE: Love in Italian Literature-###-0.6532225576924219---APPROACHES TO GENRE: POETRY OUT LOUD-###-0.32614493730194016---WOMEN IN ITALIAN LITERATURE & CINEMA-###-0.26611397421585525---DANTE'S WORKS-###-0.30346272339209573---Love in Italian Literature-###-0.6532225576924219---ASIAN AMERICAN COMMUNITIES & POPULAR CULTURE-###-0.3081558868987612---To Whom It May Concern: Literary Letters in Latin America-###-0.40788815844325305---ARCHAEOLOGY OF FICTION-###-0.2925452449182694---THE FANTASTIC VOYAGE FROM HOMER TO SCIENCE FICTION-###-0.34342560196444455---MLA Proseminar: Looking for Don Quixote-###-0.40788815844325305---Fictions of Exceptionality in 20th-Century Latin American Literature-###-0.40788815844325305---BLACK FRANCE: HISTORY AND REPRESENTATIONS-###-0.3189049044074404---CONTEMP BRAZILIAN CINEMA-###-0.2760389654491553---Fiction and Poetry-###-0.2925452449182694---IMAGE-BASED ANATOMY-###-0.2883512316313887---GLOBAL FRANCE-###-0.3189049044074404---The Fantastic Voyage from Homer to Science Fiction-###-0.34342560196444455---PHYSICS-RADIATION THERAP-###-0.2883512316313887---Latin American Literature and Pop(ular) Culture-###-0.40788815844325305---DON QUIJOTE: DON QUIJOTE THEN & NOW-###-0.40788815844325305---Between Fact and Fiction: Chronicle in Lt America from Span Conquest-21st C-###-0.40788815844325305---THE SECRET CIRCLE: CRIME & CONSPIRACY FICTIONS IN CONTEMP LT AM LITERATURE-###-0.40788815844325305---MED PHYSICS ETHICS & REG-###-0.2883512316313887---Gabriel Garcia Marquez and Latin American Literature-###-0.40788815844325305---LATIN AMERICAN FILM-###-0.40788815844325305---TOPICS IN LUSOPHONE CULTURE - SOCIETY AND VISUAL ARTS-###-0.2760389654491553---CYBORGS, ROBOTS, AND GADGETS: TECHNOLOGIES IN CONTEMPORARY HISPANIC CINEMA-###-0.40788815844325305---ADV CHROMATIC HARMONY-###-0.3219825309544632---PLATO AND ARISTOTLE IN THE RENAISSANCE-###-0.5607652174042513---INTRO JOURNALISTIC WRIT-###-0.28217719814881587---DON QUIXOTE NOW AND THEN-###-0.40788815844325305---LIVING IN SCIENCE FICTION WORLD-###-0.2662381784421805---(HI)STORIES: THE CONTEMPORARY ITALIAN NOVEL-###-0.6532225576924219---Medical Ethics-###-0.2883512316313887---Food in Latin American History and Culture-###-0.40788815844325305---TOPICS IN BRAZILIAN CULT: CONTEMPORARY BRAZILIAN CINEMA: SOCIETY AND REALITY EFFECTS-###-0.2760389654491553---ADAPTATIONS: FROM PAPER TO SCREEN-###-0.26611397421585525---RADIATION BIOLOGY-###-0.2883512316313887---SPORT, POLITICS AND LITERATURE IN ITALIAN CULTURE AND BEYOND-###-0.6532225576924219---TPCS: SPAN/LTAM CINEMA: LATIN AMERICAN FILM-###-0.40788815844325305---BODY AND SOUL:  HISPANIC PERSPECTIVES ON HEALTH, ILLNESS, AND HEALTHCARE-###-0.40788815844325305---After Odysseus. On Hospitality in France, North Africa & the Mediterranean-###-0.4260934817900551---Story-Telling in Fiction and Nonfiction-###-0.2925452449182694---CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION-###-0.40788815844325305---THERE WILL BE BLOOD: REPRESENTATION OF THE CONQUISTADOR IN LATIN AMERICA-###-0.40788815844325305---Reading Old Spanish: Language in Context-###-0.40788815844325305---CLOISTER, CASTLE AND COURT: MEDIEVAL IBERIAN LITERATURE & ARCHITECTURE-###-0.40788815844325305---Don Quijote Then and Now-###-0.40788815844325305---THE WORLD OF WORK-###-0.2925452449182694---WOMEN, CINEMA AND SOCIETY IN FRANCE SINCE 1944-###-0.3536539494268684---FROM PAPER TO SCREEN: CINEMATIC ADAPTATIONS-###-0.26611397421585525---ROME AND THE MARGINS OF MODERNISM-###-0.5611654889753624---MURDERING THE PAST:  SPANISH POST-FRANCO NARRATIVE BY WOMEN-###-0.40788815844325305---Art & Ideology-Medieval & Early Modrn Iberia: Jews,Christians,Gypsies,Moors-###-0.40788815844325305---SPANISH THEATER:  TEXT AND REPRESENTATION-###-0.40788815844325305---DON QUIJOTE THEN AND NOW-###-0.40788815844325305---MEXICAN CINEMA-###-0.40788815844325305---ASIAN AMERICAN ACTIVISM: Asian American Activism and Organizing-###-0.3251834755110269---The Country, the City and the Borderland in Contemporary Latin American Lit-###-0.40788815844325305---Antonioni and Fellini: The Challenge of (Post)modernist Cinema-###-0.5611654889753624---POETRY AND POETICS: LOVE, MARRIAGE, & POETRY-###-0.2916669013486704---STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY-###-0.40788815844325305---Reality and Appearance in Golden Age Spain-###-0.40788815844325305---CLIMATE-FICTION/CATASTROPHE, AND CULTURAL PRODUCTION-###-0.2662381784421805---Voices & Texts: Music, Literature & Culture in Modern & Contemporary Spain-###-0.286569569708861---FRESHMAN SEMINAR: REPRESENTING AFRICA-###-0.34342560196444455---POLITICS:  RHETORIC AND POWER IN ITALIAN CULTURE AND BEYOND-###-0.26611397421585525---Food in Italian Culture: From Court Banquets to Food Trucks-###-0.6532225576924219---TOPICS IN ASIAN AMER LIT: ASIAN AMERICAN PROFESSIONALS-###-0.3081558868987612---The City: Literary and Visual Tradition-###-0.6532225576924219---Asian American Cinema Movement: Fighting For Representation-###-0.3251834755110269---Writing and Remembering: A Memoir Workshop-###-0.2925452449182694---
