TRUTH, POLITICS, ETHICS: ANTHROPOLOGICAL SEMINAR:	TOPICS IN ETHICS 0.15585828721390835,INTRO CULTURAL ANTHRO 0.10696044756418209,INTRO TO MED ANTHRO 0.12037345827576165,INTRO TO MED ANTHRO 0.12037345827576165,INTRO PALEOPATHOLOGY 0.1029913860463615,ETHICS IN THE PROFESSION: BUSINESS ETHICS 0.11203508042079884,
ESTIMATION & DETEC THRY:	INTRO BUSINESS STAT 0.12306655334400564,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.16191950932324903,INTRODUCTORY STATISTICS 0.10827051674743714,DES&DEV WEB-BASED PROD: DESIGN & DEVELOPMENT OF WEB-BASED PRODUCTS AND SERVICES 0.1561406471493902,NEURAL SYSTEMS AND BEHAVIOR 0.12637060562624067,BIOENGINEERING SYSTEMS 0.11692143882476186,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.16191950932324903,INTRODUCTION TO QUANTITATIVE METHODS FOR POLICY ANALYSIS 0.131324681536026,BIOL SIGNALS & SYSTEMS 0.1967128820523659,INTRO TO COMPUTATIONAL BIOLOGY & BIOLOGICAL MODELING 0.13919172679492503,INTRODUCTORY STATISTICS 0.10361783104975518,NEURAL SYSTEMS AND BEHAVIOR 0.12637060562624067,INTRO COGNITIVE SCIENCE 0.13031286560115504,INTRO COGNITIVE SCIENCE 0.13031286560115504,INTERMEDIATE PRINCIPLES OF PEDIATRIC ACUTE CARE 0.12769623713631295,INTRODUCTORY STATISTICS 0.10361783104975518,STAT FOR ECONOMISTS 0.1225431763499471,ALGORITHMS & COMPUTATION 0.11974404300014828,INTRO BUSINESS STAT 0.12306655334400564,INTRO COGNITIVE SCIENCE 0.13031286560115504,BIOENGINEERING SYSTEMS 0.11692143882476186,CHEMICAL PROCESS CONTROL 0.13010966930785695,
CHROMOSOMES & CELL CYCLE:	CELL BIOLOGY 0.2074658942397211,ESSENTIALS OF CELL BIO 0.1692471197554793,EPIGENETICS 0.1229286407793207,MOLEC PHYSIOL&CELL ENGR 0.16558645108431783,INTEGRATED CELL BIOLOGY AND MICROBIOLOGY 0.14890702387135896,ADVANCED CELL BIOLOGY 0.13804407367922567,INTRO BIO-MOLEC BIO LIFE 0.16028711016841252,
3-D COMPUTER MODELING:	COMPUTER ANIMATION 0.10563240070409399,COMPUTER ANIMATION 0.10563240070409399,SENIOR SEMINAR PROJECT 0.10554778571082113,MIXED MEDIA ANIMATION 0.150059076648584,COMPUTER ANIMATION 0.16334935610073795,INTERACTVE COMP GRAPHICS 0.20263089461945208,EVOL POL & COMPUTER SIM 0.10694415376153257,
GREAT TRANSFORMATIONS:	RELIGION, SOCIAL JUSTICE & URBAN DEVELOPMENT 0.10456083296339413,MIGRATION & MIDDLE EAST 0.14142008996958494,MID EAST WATER IN HIST 0.12957851091818706,INTRO ARCHAEOLOGY 0.1538620614051496,GREAT DISCOV ARCHAEOLOGY 0.11999911303336674,MAT & METHODS MED ARCH 0.1044073822736027,INTRO TO FOLKLORE 0.11248193080314892,ARCHAEOLOGY: WINDOW TO THE HUMAN PAST 0.1538620614051496,INTRO TO FOLKLORE 0.13826094180951307,COMP CAPITALIST SYSTEMS 0.11084363007175388,ANCIENT CIVS OF THE WRLD 0.1351906017304629,Myths, Fraud and Science in Archaeology 0.10254910116722712,COMP CAPITALIST SYSTEMS 0.11084363007175388,MAT & METHODS MED ARCH 0.1044073822736027,PASTORAL NOMADISM 0.10419004411865843,METEOROLOGY AND ATM SCI: METEOROLOGY AND EARTH'S CLIMATE SYSTEM 0.10681915031159701,INDUSTRIAL METROPOLIS 0.11566803477519186,
INTERMEDIATE RUSSIAN II:	ADVANCED RUSS CONV/COMP 0.31161548876866135,ELEMENTARY SWEDISH I 0.1087370384515958,Madness and Madmen in Russian Culture 0.16002235534857062,ELEMENTARY ZULU I 0.11959550562018935,BEGINNING THAI I 0.12957584917406928,ELEMENTARY ZULU II 0.11947950279527204,INTERMEDIATE KOREAN I 0.11622388818754842,INTERMEDIATE RUSSIAN I 0.39675085226595913,ELEMENTARY POLISH I 0.10874401321726272,ELEMENTARY POLISH I 0.10874401321726272,19C:ROMANTICS & REALISTS 0.21513136205230815,ELEMENTARY KOREAN II 0.10740526628508609,INTERM VIETNAMESE I & II 0.12468591436798723,ELEMENTARY AMHARIC I 0.12271506057627497,ELEMENTARY SWEDISH I 0.1087370384515958,PORTRAITS RUSS SOCIETY 0.13408351452803613,ELEMENTARY RUSSIAN II 0.11711951639672177,ADVANCED CONV/COMP II 0.254687666636921,
Le Francais dans le Monde/French in the World:	INTRO TO LINGUISTICS 0.16179030566009278,FR FOR PROFESSIONS I 0.19778890457472062,BEGINNING THAI I 0.1414048563763882,The Translation of Poetry and the Poetry of Translation 0.10063628629455915,INTERMED FREN:ACCELERATD 0.11991761159023771,INTERMEDIATE FRENCH I 0.3624547084317935,VIOLENCE AND THE SACRED 0.18733866144713135,CONSTRUCT A LANGUAGE 0.11209914918419865,French Modernity and Its Discontents 0.2556044507450185,REVOLUTION TO REALISM 0.1114294722631766,FR FOR PROFESSIONS II 0.21014014366270148,INTERM VIETNAMESE I & II 0.10637735613567198,INTERMEDIATE FRENCH I 0.3624547084317935,CONTEMPORARY FRANCE 0.1462231868481667,The Translation of Poetry and the Poetry of Translation 0.10063628629455915,MASTERPIECES OF FRENCH CINEMA 0.30846562546808437,INTERMEDIATE FRENCH I 0.3624547084317935,
THE POLITICS OF HOUSING & URBAN DEVELOPMENT:	WHO GETS ELECTED AND WHY: THE SCIENCE OF POLITICS 0.13126287673260173,URBAN HOUSING & COMMUNITY DEVELOPMENT POLICY IN AMERICA 0.11019024172023677,PHILADELPHIA 1700-2000 0.1010519740316856,
RECENT AMER HIST:	RACE & CRIMINAL JUSTICE 0.1417662252988755,RACE AND IDENTITY: COMING OF AGE IN 20TH CENTURY AMERICA 0.12491543811894473,LAW AND SOCIAL CHANGE 0.10587632076028931,FACING AMERICA 0.10110826710623798,CIVIL WARS 0.11084913591364981,KELLY WRITERS HOUSE SEMINAR, 2015:  A. WALDMAN, J. HAGEDORN, D. ALLISON 0.11749768374951214,COLD WAR: GLOBAL HISTORY 0.1680860201452377,CIVIL WARS 0.11084913591364981,WAR AND REPRESENTATION 0.12975455173616018,Slavery, Serfdom, and Cultures of Bondage in the U.S. and Russia 0.10368186536081721,HISTORY OF AMERICAN EDUC 0.10080182398195921,US AND CHINA 1912-2012 0.13183726151026454,LAW AND SOCIAL CHANGE 0.10587632076028931,
INTRM MODERN HEBREW III:	INTERMED BIBL HEBREW I: INTRO BIBL HEBREW PROSE 0.13619229987551432,ELEM MODERN HEBREW II 0.6421007867313334,ELEM BIBLICAL HEBREW II 0.21684402731239852,INTERMED PORTUGUESE II 0.14975063045260942,INTR MODERN HEBREW IV 0.6733770399221555,ELEM MODERN HEBREW I 0.5100692114168127,ACCEL INTERMD PORTUGUESE 0.12820874690024434,ELEM MODERN HEBREW II 0.6421007867313334,ACCEL INTERMD PORTUGUESE 0.1286523411951576,ELEM MODERN HEBREW I 0.5100692114168127,ELEM BIBLICAL HEBREW II 0.21684402731239852,INTR MODERN HEBREW IV 0.6733770399221555,INTRO TO THE BIBLE 0.10458235886761635,ELEM MODERN HEBREW II 0.6421007867313334,INTERMED BIBL HEBREW I: INTRO BIBL HEBREW PROSE 0.13619229987551432,ELEM MODERN HEBREW I 0.5100692114168127,ELEM MODERN HEBREW II 0.6421007867313334,INTERMED BIBL HEBREW I: INTRO BIBL HEBREW PROSE 0.13619229987551432,INTR MODERN HEBREW IV 0.6733770399221555,RDGS MOD CHINESE II:LIT 0.10458652890446579,SEM MODERN HEBREW LIT: GIANTS OF HEBREW LIT 0.28118602915136953,APPROACHES TO GENRE: THE END IS COMING: APOCALYPSE IN FILM AND LITERATURE 0.10756199033638189,
ELEMENTARY SPANISH I:	CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION 0.12617091618533857,ADVANCED PORTUGUESE 0.11801234629566303,Gabriel Garcia Marquez and Latin American Literature 0.12617091618533857,INTERMED PORTUGUESE II 0.10421952541138563,Food in Latin American History and Culture 0.12617091618533857,MLA Proseminar: Looking for Don Quixote 0.12617091618533857,ACCELERATED INTERMD GRMN 0.10114739959934883,ACCEL INTERMEDIATE SPAN 0.2577398376653456,INTERMEDIATE GERMAN I 0.11379940180707893,INTERMEDIATE GERMAN I 0.11379940180707893,ACCEL INTERMD PORTUGUESE 0.14091769582068966,ELEMENTARY SPANISH II 0.28024491428706994,ELEM VIETNAMESE I 0.1262868776389931,HIST OF SPANISH LANGUAGE 0.15739199780957888,INTERMEDIATE SPANISH II 0.23845862661968262,BUSINESS SPANISH I 0.13690651164212217,ELEMENTARY ITALIAN I 0.10902695362689115,PRTG FOR SPANISH SPEAKER 0.1938054424922371,INTERMEDIATE GERMAN II 0.1350798207000119,ADV SPANISH SYNTAX 0.28258346175245697,INTRO LITERARY ANALYSIS 0.11463911748412073,ACCELERATED INTERMD GRMN 0.10114739959934883,SPAN FOR MED PROF INT I 0.21752935976892757,SPAN FOR MED PROF INT 2 0.2230460344149492,INTRODUCTION TO HISPANIC LINGUISTICS 0.173084599967564,ACCEL INTERMD PORTUGUESE 0.14140526228888872,ELEMENTARY SPANISH 0.22718517325752094,INTERMED INDONESIAN II 0.16509646611842835,Spanish Surrealism:  The Works of Salvador Dali 0.14791418148754085,ADVANCED SPANISH 0.20345638413204775,ADVANCED PORTUGUESE 0.11824643611246256,ADVANCED SPANISH 0.20345638413204775,ADV SPAN/MED PROFS: Advanced Medical Spanish 0.10838091195589553,ELEMENTARY ITALIAN I 0.1321787995532936,INTERM VIETNAMESE I & II 0.11102106115286034,STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY 0.12617091618533857,Telling It All: Women as Storytellers in Hispanic Fiction 0.12617091618533857,
VIDEO I:	INTERMEDIATE JAPANESE IV 0.106042513116495,VIDEO II 0.28837288276034656,DIGITAL PHOTOGRAPHY 0.10563452276107935,VIDEO I 0.9816410010320713,JOYCE'S ULYSSES:  MAKING READINGS 0.13243131700334235,VIDEO I 0.12205271377380715,DIGITAL PHOTOGRAPHY 0.10563452276107935,INTERMEDIATE RUSSIAN I 0.1321577465979044,ELEMENTARY POLISH I 0.10130203168008287,BEGINNING SITAR I 0.1215291290900489,DISPERSIVE LENS 0.131199749555142,VIDEO II 0.28837288276034656,BIOCHEMISTRY RESEARCH 0.1004209701410067,BRAIN-COMPUTER INTERFACE 0.10634343586115556,CRITICAL-CREATIVE LIT.: WRITING PHILADELPHIA 0.13243131700334235,RENAISSANCE-CONTEMPORARY 0.11402565022701858,PHOTOGRAPHY PRACTICES 0.14223183075555385,CINEMA PRODUCTION 0.12828690400231665,BRAIN-COMPUTER INTERFACE 0.10634343586115556,INTRODUCTION TO PHOTOGRAPHY: BLACK AND WHITE FILM 0.1015315566955643,PHOTOGRAPHIC THINKING 0.1087695474178182,ELEMENTARY POLISH I 0.10130203168008287,GRAPHIC DESIGN AND TIME TRAVEL 0.11422898148800749,PERFORMANCE STUDIO 0.15012002270043412,INTRO TO PHOTOGRAPHY 0.1015315566955643,RENAISSANCE-CONTEMPORARY 0.11402565022701858,PHOTOGRAPHY PRACTICES 0.14223183075555385,
THE POLITICS OF SHINTO:	INTERMEDIATE JAPANESE I 0.10114104053700222,JAPANESE-ENGLISH TRANSL 0.10366764994233017,INTERMEDIATE JAPANESE II 0.10072911571936122,RDG CLASSICAL JAPANESE I 0.11133218525176496,ADVANCED PROFICIENCY II 0.16322896007573104,ADVANCED PROFICIENCY II 0.16322896007573104,JAPANESE/PROFESSIONS I 0.216991630836039,SUSHI&RAMEN:GLOBAL FOOD 0.15704060216415341,JAPANESE/PROFESSIONS II 0.216991630836039,
NEGOTIATIONS:	NEGOTIATION/CONFLICT RES 0.10443989747240874,REAL ESTATE ENTREPRENEUR 0.12488788184965094,ADV TOPICS NEGOTIATION 0.4726405193970384,NEGOTIATION/CONFLICT RES 0.10443989747240874,NEGOTIATION/CONFLICT RES 0.10443989747240874,NEGOTIATIONS 0.303409451314185,NEGOTIATIONS 0.303409451314185,NEGOTIATIONS 0.3342747078733218,
CHEKHOV STAGE & SCREEN:	THE PLAY 0.10824848721037991,
INTERM VIETNAMESE I & II:	INTERMEDIATE RUSSIAN II 0.12468591436798723,INTERMEDIATE ARABIC IV 0.10479685463031646,Le Francais dans le Monde/French in the World 0.10637735613567198,POLISH/HERITAGE SPEAK II 0.11795286329715542,ELEMENTARY SPANISH I 0.11102106115286034,INTERMEDIATE RUSSIAN II 0.12468591436798723,INTERMED VIETNAMESE II 0.12162826760686582,INTERMEDIATE ARABIC IV 0.10479685463031646,BEGINNING THAI I 0.2807271317270685,ELEMENTARY SPANISH II 0.3614778952668759,ELEM VIETNAMESE I 0.24925495128805564,POLISH/HERITAGE SPEAK II 0.11795286329715542,INTERMEDIATE RUSSIAN II 0.12468591436798723,INTERMEDIATE ARABIC IV 0.10479685463031646,
ADV TPC IN PHYS/CHEM BE:	ORGANIC CHEMISTRY I 0.1609451602891591,GEOCHEMISTRY 0.1950478556419904,BIOLOGICAL CHEMISTRY I 0.1387385363545159,INTRO TO GEOLOGY 0.11062166921224174,ORGANIC CHEMISTRY I 0.1609451602891591,PHYS MODELS BIO SYSTEMS: Physical Models of Biological Systems 0.10717566463789886,GENERAL CHEMISTRY II 0.20099922465530468,BIOLOGICAL CHEMISTRY I 0.1387385363545159,SENIOR DESIGN PROJECT 0.14440415670066808,BIOLOGICAL CHEMISTRY I 0.1387385363545159,GENERAL CHEMISTRY I 0.3098956313536128,INTRODUCTORY CHEM I 0.285394173614614,QUANTUM ENGINEERING 0.1011660258942674,
HEALTHY SCHOOLS:	LEADERSHIP DEVELOPMENT IN HEALTHCARE 0.15545308542166064,URBAN EDUCATION 0.13707043507706526,ADVANCED ROLES IN ADMINISTRATIVE NURSING PRACTICE 0.11355109600143247,LDERSHP & COMMUN IN GRPS 0.10436315224946523,URBAN EDUCATION 0.13707043507706526,MED MISSIONARIES & PARTN 0.1679121218508335,URB UNIV-COMMUNITY REL: Faculty-Student Collaborative Action Seminar in Urban Univ-Comm Relations 0.11399832077942358,Community Based Environmental Health 0.12636060910368999,ABCS EVERYDAY NEUROSC 0.10282921570327187,Medical Missionaries and Partners 0.16932961279899753,Faculty-Student Collaborative Action Seminar in Urban Univ-Comm Relations 0.11399832077942358,Faculty-Student Collaborative Action Seminar in Urban Univ-Comm Relations 0.11399832077942358,ABCS EVERYDAY NEUROSC 0.10282921570327187,NUTRITIONAL ASPECTS OF DISEASE 0.12594979510868654,Faculty-Student Collaborative Action Seminar in Urban Univ-Comm Relations 0.11399832077942358,ASL/DEAF STUDIES - ABCS 0.1030374331892976,HEALTH SERVICES SYS 0.10359759068053419,SERVICE OPER MGMT 0.12673364030777906,LDERSHP & COMMUN IN GRPS 0.10436315224946523,CHILD AND ADOLESCENT MENTAL HEALTH 0.10121154830783122,
VENTURE CAPITAL& ENT MG: Practices & Institutions of Silicon Valley:	VENT CAP & FNCE INNOVAT 0.10183556175984923,VEN CAPITAL & ENT MGMT 0.15693852959666174,VENTURE CAP & ENT MGMT 0.22460608434244805,ENG ENTREPRENEURSHIP II 0.10431474736086274,
MANAGING ORG CHANGE:	ENTREPRENEURSHIP 0.11232746729829708,LECTURE 0.14538434473222392,AMERICAN CAPITALISM 0.11695996136517225,ENTREPRENEURSHIP 0.1159775705242883,AMERICAN CAPITALISM 0.11695996136517225,LECTURE 0.14538434473222392,OPS STRATEGY PRACTICUM: Penn Global Seminar - Israel (PGS 013) 0.14002692179963347,CORP DEV: MERG & ACQUIS 0.13985929101098693,MNG STRAT PARTNERSHIPS: Managing Strategic Partnerships 0.12453317212263271,ENTREPRENEURSHIP 0.1159775705242883,MERGERS & ACQUISITIONS 0.14088939738914255,
ENVS SEMINAR: ENVIRONMENTAL POLICY:	ENVIRONMENTAL CASE STUDIES 0.1049112887476502,GIS DIG HUM SOC SCI 0.10533937153411137,RESEARCH/INQUIRY-BASED SERVICE RESIDENCY 0.10252139669988752,COLLOQ. ARABIC LEVANTINE 0.11962506150059127,LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.11356179620561205,ELAST&MICROMECH OF MATLS 0.1340332800840853,ARCHITECTURE IN THE ANTHROPOCENE 0.15601230901294713,INDEPENDENT STUDY: Global Local Independent Study 0.11612262711915466,RESEARCH/INQUIRY-BASED SERVICE RESIDENCY 0.10252139669988752,HISTORICAL LINGUISTICS 0.15913140245512533,PC CLIN PRAC:COMPLEX DIAGNOSIS AND MANAGEMENT OF ADULTS ACROSS THE LIFESPAN 0.10669486682279991,SENIOR DESIGN PROJECT 0.11715190831874302,ELAST&MICROMECH OF MATLS 0.1340332800840853,COLLOQ. ARABIC MOROCCAN 0.11962506150059127,LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.11356179620561205,
IRAN CINEMA:GEND/POL/REL:	TOPICS GERMAN CINEMA: FRITZ LANG 0.10693440282525685,WORLD FILM HIST '45-PRES 0.1305232055376848,20TH C CHINESE LIT/FILM 0.11886231995704993,INTRODUCTION TO AFRICANA STUDIES 0.10535898052908721,RUSSIAN AND EAST EUROPEAN FILM FROM THE OCTOBER REVOLUTION TO WORLD WAR II 0.10267759168427316,20TH C CHINESE LIT/FILM 0.11637477285733956,MODERN SCI-FI CINEMA 0.12495360682287088,20TH C CHINESE LIT/FILM 0.11886231995704993,WORLD FILM HIST TO 1945 0.10753611969613211,MLA SEMINARS IN CINEMA: MLA Proseminar: Food and Film 0.1253655508544772,WORLD FILM HIST '45-PRES 0.1305232055376848,WORLD FILM HIST TO 1945 0.10753611969613211,20TH C CHINESE LIT/FILM 0.11637477285733956,CINEMA AND MEDIA: GLOBAL FILM THEORY 0.10181397875025824,WORLD FILM HIST TO 1945 0.10753611969613211,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.10296858323518604,RUSSIAN & EAST EUROPEAN FILM AFTER WORLD WAR II 0.10063381568216036,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.10296858323518604,
CLINICAL PSYCHOPHARMACOL:	INTEGRATED PATHOPHYSIOLOGY, PHARMACOLOGY, AND THERAPEUTICS 0.26992128796389164,PHARMA & GLOBAL HEALTH 0.1523938144430335,BIO BASIS PSYCHIA DISORD 0.10955091175414296,PRINCIPLES DRUG ACTION 0.17056639257752682,Drug Wars:  The Influence of Psychoactive Rhetoric 0.3006909372352049,DRUG DELIVERY 0.22690235729621838,DRUGS, BRAIN, AND MIND 0.18754404157935675,INTEGRATED PATHOPHYSIOLOGY, PHARMACOLOGY, AND THERAPEUTICS 0.26992128796389164,Drug Wars:  The Influence of Psychoactive Rhetoric 0.3006909372352049,DRUG DELIVERY 0.2353967760955046,PHARMA & GLOBAL HEALTH 0.1523938144430335,
HUMAN RTS&GLOBALIZATION:	NGOS & HUMANITARIANISM 0.11151851429731377,ETHICS, ARCHAEOLOGY & CULTURAL HERITAGE 0.11081561690578769,INTERNATIONAL LAW 0.222221038902721,HIST OF AMER LAW TO 1877 0.12856448896203002,LAW AND SOCIAL CHANGE 0.11011213200063971,MULTINATIONAL MANAGEMENT 0.10763489182203238,INTERNAT'L SOCIETY 20C 0.10652680453848151,INTERNATIONAL POL. ECON: International Political Economy 0.11984937141114009,LAW AND SOCIAL CHANGE 0.11011213200063971,
ENERGY FINANCE:	PROJECT MANAGEMENT 0.11685673466190072,ENVIRON. & ENERGY ECON 0.17011309477139114,ACCELERATED CORP FINANCE 0.15446106350616207,CORPORATE FNCE (HALF CU) 0.19494206823133367,VIPER SEMINAR: Vagelos Integrated Program in Energy Research (VIPER) Seminar, Part I 0.1230873148043407,ENERGY MARKETS & POLICY 0.31309166620798207,ENERGY STORAGE & TECHNOL 0.16162201965419912,INTRO TO BIOTRANS PROCES 0.1312511621619708,CORPORATE FINANCE 0.1888364613059576,CORPORATE VALUATION 0.10532480027559828,Private Equity in Emerging Markets 0.1271442746520278,REAL ESTATE INVESTMENTS 0.11257755807182614,ENERGY MARKETS & POLICY 0.31309166620798207,CORPORATE FINANCE 0.1888364613059576,REAL ESTATE INVESTMENTS 0.11257755807182614,FINANCIAL ECONOMICS 0.11504670542805087,Nonprofit Financial Management 0.13700238110960425,REAL ESTATE INVESTMENTS 0.11612459169183348,ENERGY ENGINEERING 0.12741645482350591,LAW OF CORP MGMT & FNCE 0.16406869011021416,INTRO TO BIOTRANS PROCES 0.1312511621619708,ENERGY MARKETS & POLICY 0.31309166620798207,REAL ESTATE ENTREPRENEUR 0.10661702198033585,ENERGY,OIL&GLOBAL WARMIN: Energy, Oil, and Global Warming 0.13105623648559633,ENERGY MARKETS & POLICY 0.315835411614022,
Natural and Cultural Heritage in Global Perspective:	ETHICS, ARCHAEOLOGY & CULTURAL HERITAGE 0.3056645369897613,POLICY,MUSEUMS&CUL HERIT 0.23224116961526967,How Digital Humanities Can Help Save the Planet 0.11201444944908827,ECONOMICS OF HERITAGE 0.4705745401922175,
DES&DEV WEB-BASED PROD: DESIGN & DEVELOPMENT OF WEB-BASED PRODUCTS AND SERVICES:	DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.1311262705970391,MACHINE PERCEPTION 0.12286855464296992,ANAL METH ECON, LAW MED 0.1254887676955806,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.1311262705970391,BAYESIAN METH & COMP 0.11430100238174494,INTRO TO COMPUTATIONAL BIOLOGY & BIOLOGICAL MODELING 0.10552339801211968,MANAGERIAL ECONOMICS 0.11664780760569649,INTRODUCTORY STATISTICS 0.10293196071984462,DATA SCIENCE 0.14809487116501285,ENTREPRENEURSHIP 0.1145037086411034,Modeling Geographic Objects 0.10279324679484017,INTRODUCTORY STATISTICS 0.10293196071984462,ENTREPRENEURSHIP 0.10075976040442658,COMPUTATIONAL MATLS SCI 0.11932603849924843,STAT FOR ECONOMISTS 0.1295699435286571,ENTREPRENEURSHIP 0.1145037086411034,PROB&STATS FOR BIOT 0.1468643247676577,INTRODUCTION TO OPERATIONS MANAGEMENT 0.13896352309445154,INTR TO OPTIMIZ THEORY 0.11537099923557223,ESTIMATION & DETEC THRY 0.1561406471493902,BUSINESS COMP LANGUAGES 0.13041858449967034,
SOCIAL STATISTICS:	INTRO BUSINESS STAT 0.13593057984193896,STAT FOR ECONOMISTS 0.16300424937879102,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.19139965157712827,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.19139965157712827,INTRO BUSINESS STAT 0.13593057984193896,INTRODUCTION TO QUANTITATIVE METHODS FOR POLICY ANALYSIS 0.21015097293574178,STATISTICAL MECHANICS 0.10277706722362552,INTRODUCTORY STATISTICS 0.1454615155835084,DIG INTEG CIRC&VLSI-FUND 0.10204091378436335,APPLIED ECONOMETRICS I 0.12506645685017256,INTRODUCTORY STATISTICS 0.1454615155835084,
HEALTH OF POPULATIONS:	LEADERSHIP DEVELOPMENT IN HEALTHCARE 0.29606017337557905,WELL WOMEN HEALTH CARE, THEORY 0.12021905372988333,PRINCIPLES OF PALLIATIVE CARE 0.1266687044208604,CROSS CULTRL APPR HEALTH 0.1496208371736383,OBESITY AND SOCIETY 0.14032598801676321,CLINICAL MANAGEMENT OF PRIMARY CARE WITH YOUNG FAMILIES 0.2096038946907164,ADVANCED ROLES IN ADMINISTRATIVE NURSING PRACTICE 0.23390941973650078,CONDUCTING RESEARCH IN GLOBAL WOMEN'S HEALTH 0.18387142544215773,QUANTITATIVE RESEARCH DESIGN AND METHODS 0.14439233024680137,GLOBAL HLTH: ANTH PERSP 0.12941317565242866,QUANTITATIVE RESEARCH DESIGN AND METHODS 0.14439233024680137,PROSEMINAR IN NURSING INNOVATION 0.12416234107978827,PC CLIN PRAC:COMPLEX DIAGNOSIS AND MANAGEMENT OF ADULTS ACROSS THE LIFESPAN 0.18167677452302802,HEALTH CARE SYSTEMS 0.20466187084415785,INTRO TO BUSINESS ECONOM 0.10854662460661545,FOUNDA OF PUBLIC HEALTH 0.3684270835682611,FUNDAMENTALS OF NUTRITION 0.11214977362893402,PSYCHOPHARMACOLOGY ACROSS THE LIFESPAN 0.12463349773023538,INTEGRATION I 0.1293942205375346,INTRO TO BUSINESS ECONOM 0.10854662460661545,CHILD AND ADOLESCENT MENTAL HEALTH 0.24515417796459718,SCIENTIFIC INQUIRY FOR EVIDENCE-BASED PRACTICE 0.14756460060922677,PRINCIPLES OF PALLIATIVE CARE 0.1266687044208604,QUANTITATIVE RESEARCH DESIGN AND METHODS 0.14439233024680137,CONCEPTS IN HEALTHCARE ECONOMICS 0.2636584749131219,E-HEALTH:BUSINESS MODELS: E-Health: Business Models and Impact 0.10818908338614475,MED MISSIONARIES & PARTN 0.1807286913434897,NURSING OF WOMEN AND INFANTS 0.17486015207600253,Community Based Environmental Health 0.2132258927442901,HC MGMT&STRAT 0.10275367274274524,Medical Missionaries and Partners 0.18225437800166022,Advanced Principles of Nurse Anesthesia Practice: Obstetrics, Pediatrics 0.1837390637107939,FUNDAMENTALS OF NUTRITION 0.11214977362893402,TOPICS IN ETHICS 0.10344861322841584,FUNDMTLS OF EPIDEMIOLOGY 0.25304657027594646,PSYCHOLOGICAL AND SOCIAL DIVERSITY IN HEALTH AND WELLNESS 0.24263343186020936,MEASUREMENT OF PHYSIOLOGIC VARIABLES RELATED TO HEALTH OUTCOME DISPARITY 0.2807526395072795,ADV SPAN/MED PROFS: Advanced Medical Spanish 0.20552617686479768,HEALTH CARE SYSTEMS 0.20466187084415785,RACE, GENDER, CLASS AND THE HISTORY OF AMERICAN HEALTH CARE 0.25117081517677375,Health, Sustainability & Built Environment Design 0.2308987592787567,HEALTH SERVICES SYS 0.15454055749877402,NURSING IN THE COMMUNITY 0.19430396111213344,PUBLIC POLICY AND THE NATION'S HEALTH 0.35523520710868545,WELL WOMEN HEALTH CARE, THEORY 0.12021905372988333,HC ENTREPRENEURSHIP 0.13792306611255395,
